1,EU,7,AD,AND,174,963,EUR,Euro,€,+376,.ad,ca
2,AS,5,AE,ARE,58,420,AED,UAE Dirham,د.إ,+971,.ae,"ar-AE,fa,en,hi,ur"
3,AS,5,AF,AFG,101,767,AFN,Afghani,؋,+93,.af,"fa-AF,ps,uz-AF,tk"
4,NA,6,AG,ATG,125,28464,XCD,East Caribbean Dollar,$,+1,.ag,en-AG
5,NA,6,AI,AIA,124,915,XCD,East Caribbean Dollar,$,+1,.ai,en-AI
6,EU,7,AL,ALB,238,1025,ALL,Lek,Lek,+355,.al,"sq,el"
7,AS,5,AM,ARM,52,392,AMD,Armenian Dram,֏,+374,.am,hy
8,AF,9,AO,AGO,111,805,AOA,Angolan Kwanza,Kz,+244,.ao,pt-AO
9,AN,10,AQ,ATA,10,,,,,,.aq,
10,SA,8,AR,ARG,54,399,ARS,Argentine Peso,$,+54,.ar,"es-AR,en,it,de,fr,gn"
